,index_content,word,nature,content_type,index_word
970,60,大厂,n,pos,1
973,60,影响,vn,pos,3
979,60,公司,n,pos,6
983,60,公司,n,pos,8
992,60,面子,n,pos,11
1000,60,影响,vn,pos,15
1001,61,四川人,nz,pos,1
1011,62,豆瓣,n,pos,3
1013,62,红书,n,pos,5
1015,62,大军,n,pos,7
1020,63,招女,n,pos,1
1022,63,性,n,pos,2
1027,64,钱庄,nr,pos,3
1028,64,夸夫雷,nrt,pos,4
1030,64,许可证,nr,pos,6
1035,66,水军,n,pos,1
1037,66,热度,n,pos,2
1054,67,身份,n,pos,4
1058,67,敌人,n,pos,5
1066,69,学历,n,pos,1
1070,69,败类,n,pos,4
1077,70,热度,n,pos,2
1079,70,公司,n,pos,3
1084,71,垃圾,n,pos,2
1085,71,学校,n,pos,3
1087,71,四学,n,pos,4
1090,72,对面,n,pos,2
1091,72,龙凤呈祥,nr,pos,3
1092,72,包子,n,pos,4
1093,72,集团,n,pos,5
1094,72,有限公司,n,pos,6
1095,72,董事长,n,pos,7
1099,72,包子,n,pos,10
1100,72,时,n,pos,11
1112,72,垃圾桶,n,pos,17
1118,73,贴上标签,n,pos,2
1123,73,聚集地,n,pos,3
1126,74,中央,n,pos,1
1142,75,大学,n,pos,5
1143,75,学生,n,pos,6
1145,75,影响,vn,pos,7
1147,75,公司,n,pos,9
1148,76,哈麻,nr,pos,1
1149,76,皮带,n,pos,2
1150,76,学,n,pos,3
1154,77,张薇,nr,pos,2
1159,77,后台,n,pos,3
1166,77,学校,n,pos,5
1179,78,省,n,pos,2
1181,78,单位,n,pos,4
1189,79,企业,n,pos,2
1197,80,保姆,nrt,pos,3
1200,80,毕业生,n,pos,5
1202,81,华西,ns,pos,1
1206,81,影响,vn,pos,2
1211,81,企业,n,pos,4
1220,81,声誉,n,pos,6
1231,82,学生,n,pos,1
1234,83,香槟,n,pos,2
1236,83,香槟,n,pos,4
1237,84,政府部门,n,pos,1
1244,84,公告,n,pos,6
1253,84,社会,n,pos,7
1257,84,影响,vn,pos,9
1266,84,私下,n,pos,11
1267,84,事,n,pos,12
