,index_content,word,nature,content_type,index_word
479,31,男女,n,pos,8
480,31,例子,n,pos,9
483,31,摆,v,pos,10
488,31,真,d,pos,11
492,32,企业,n,pos,1
495,32,害怕,v,pos,2
496,32,招,v,pos,3
498,32,喜欢,v,pos,4
499,32,造谣,v,pos,5
500,32,和网,nz,pos,6
501,32,暴,n,pos,7
502,32,员工,n,pos,8
504,32,同学,n,pos,9
507,32,不用,v,pos,10
508,32,担心,v,pos,11
511,32,抵制,v,pos,12
516,32,辣鸡,n,pos,13
517,32,企业,n,pos,14
519,32,档,n,pos,15
520,32,抵制,v,pos,16
522,32,话,n,pos,17
526,32,档,n,pos,18
528,32,列为,v,pos,19
529,32,辣鸡,n,pos,20
530,32,组织,v,pos,21
531,33,看吧,n,pos,1
535,33,企业,n,pos,2
538,33,暗暗,d,pos,3
539,33,拉黑,nrt,pos,4
540,33,毕业生,n,pos,5
542,33,问,n,pos,6
545,33,刷掉,v,pos,7
550,35,招女,n,pos,1
552,35,行,v,pos,2
560,36,道德,nr,pos,1
561,36,绑架,v,pos,2
564,36,学生,n,pos,3
565,36,何其,c,pos,4
566,36,无辜,n,pos,5
568,37,张,q,pos,1
569,37,说法,v,pos,2
572,37,企业,n,pos,3
573,37,权益,n,pos,4
576,37,侵犯,v,pos,5
580,37,提前,v,pos,6
581,37,规避,v,pos,7
582,37,风险,n,pos,8
585,37,情况,n,pos,9
587,37,市面上,n,pos,10
590,37,合格,n,pos,11
591,37,产品,n,pos,12
594,37,商品,n,pos,13
598,37,下架,v,pos,14
601,37,追查,v,pos,15
602,37,生产,vn,pos,16
603,37,企业,n,pos,17
605,37,学校,n,pos,18
607,37,人渣,n,pos,19
609,37,学校,n,pos,20
611,37,架,q,pos,21
614,37,消费者,n,pos,22
616,37,买到,v,pos,23
618,37,合格,n,pos,24
620,37,学校,n,pos,25
621,37,负责,v,pos,26
624,37,消费者,n,pos,27
625,37,有权,n,pos,28
626,37,选择,v,pos,29
630,37,产品,n,pos,30
632,38,碰到,v,pos,1
633,38,此类,r,pos,2
634,38,事,n,pos,3
637,38,男,b,pos,4
641,38,开除,v,pos,5
643,38,女,b,pos,6
647,38,留校察看,n,pos,7
648,38,保护,v,pos,8
651,38,女人,n,pos,9
652,38,真幸福,nr,pos,10
655,39,男,b,pos,1
656,39,缺,v,pos,2
658,39,东厂,n,pos,3
661,39,地方,n,pos,4
667,40,真不知道,i,pos,1
669,40,张薇,nr,pos,2
671,40,何德何能,nr,pos,3
677,40,保,v,pos,4
679,40,帮,v,pos,5
681,40,说话,v,pos,6
687,40,一点,m,pos,7
688,40,事,n,pos,8
693,40,奇怪,v,pos,9
697,40,来头,v,pos,10
700,40,能耐,n,pos,11
702,40,家里,s,pos,12
703,40,非,h,pos,13
704,40,富即贵,i,pos,14
705,40,那种,r,pos,15
707,41,众所周知,i,pos,1
708,41,四学,n,pos,2
710,41,一所,m,pos,3
711,41,老牌,n,pos,4
712,41,女性,n,pos,5
713,41,学院,n,pos,6
718,41,绿毛龟,nr,pos,7
721,42,运动,vn,pos,1
722,42,机构,n,pos,2
725,43,网暴,n,pos,1
726,43,要说,c,pos,2
727,43,抑郁,a,pos,3
730,43,抑郁,a,pos,4
732,43,打败,v,pos,5
733,43,抑郁,a,pos,6
737,45,想,v,pos,1
741,45,热度,n,pos,2
742,45,蹭,v,pos,3
746,46,老哥,n,pos,1
747,46,工地,n,pos,2
748,46,上班,v,pos,3
753,46,川,j,pos,4
755,46,同学,n,pos,5
757,46,一口,m,pos,6
758,46,饭,n,pos,7
759,46,吃,v,pos,8
761,46,川,j,pos,9
763,46,同学,n,pos,10
765,46,别怕,c,pos,11
768,46,工地,n,pos,12
769,46,老哥,n,pos,13
770,46,永远,d,pos,14
772,46,川,j,pos,15
774,46,敞开大门,n,pos,16
776,47,希望,v,pos,1
777,47,行政,n,pos,2
778,47,机关,n,pos,3
779,47,带头,v,pos,4
780,47,地址,n,pos,5
784,47,毕业生,n,pos,6
785,47,考公,n,pos,7
786,48,明明,t,pos,1
788,48,鸭,ng,pos,2
789,48,脖,n,pos,3
792,49,小企业,n,pos,1
793,49,发,v,pos,2
795,49,公告,n,pos,3
798,49,企业,n,pos,4
800,49,做,v,pos,5
803,50,靠山,n,pos,1
804,50,山,n,pos,2
805,50,很大,a,pos,3
806,51,偷偷,d,pos,1
808,51,招聘,v,pos,2
810,51,行,v,pos,3
815,51,干什么,l,pos,4
817,51,违法,vn,pos,5
822,52,蹭,v,pos,1
823,52,热度,n,pos,2
825,52,请,v,pos,3
828,53,可怕,c,pos,1
830,53,川,j,pos,2
833,53,找,v,pos,3
839,53,翻,v,pos,4
841,53,公司,n,pos,5
842,53,背景,n,pos,6
846,53,攻击,v,pos,7
850,53,一丘之貉,i,pos,8
851,54,重大事件,n,pos,1
852,54,央视,j,pos,2
856,54,正确处理,n,pos,3
857,54,方法,n,pos,4
859,55,抵制,v,pos,1
862,55,实质性,n,pos,2
863,55,作用,v,pos,3
870,55,名声,n,pos,4
873,55,一点,m,pos,5
874,55,影响,vn,pos,6
876,55,当事人,n,pos,7
878,55,追究,v,pos,8
879,55,情况,n,pos,9
881,55,真,d,pos,10
883,55,难,a,pos,11
886,56,清北,ns,pos,1
888,56,复交,v,pos,2
891,56,事,n,pos,3
893,56,用人单位,n,pos,4
896,56,勉强,v,pos,5
897,56,捏着鼻子,l,pos,6
903,56,真,d,pos,7
904,56,强,a,pos,8
907,56,算,v,pos,9
910,56,文,n,pos,10
912,56,西财理,nt,pos,11
914,56,成电,n,pos,12
917,56,四川省,ns,pos,13
921,56,拔尖,v,pos,14
925,56,太,d,pos,15
929,57,仙女,n,pos,1
933,57,女鬼,n,pos,2
935,58,有个,r,pos,1
936,58,专业,n,pos,2
941,59,自欺欺人,i,pos,1
946,59,公开,ad,pos,2
951,59,厂里,n,pos,3
953,59,几份,m,pos,4
954,59,简历,v,pos,5
956,59,总要,c,pos,6
958,59,理由,n,pos,7
959,59,淘汰,v,pos,8
963,59,出名,v,pos,9
968,59,撞,v,pos,10
969,59,枪口上,n,pos,11
970,60,大厂,n,pos,1
971,60,不好意思,a,pos,2
973,60,影响,vn,pos,3
974,60,不好,d,pos,4
977,60,这事,r,pos,5
979,60,公司,n,pos,6
980,60,侮辱,v,pos,7
983,60,公司,n,pos,8
987,60,晒,v,pos,9
988,60,掉,v,pos,10
992,60,面子,n,pos,11
993,60,招,v,pos,12
997,60,大部分,m,pos,13
999,60,受,v,pos,14
1000,60,影响,vn,pos,15
1001,61,四川人,nz,pos,1
1004,62,家,q,pos,1
1006,62,不用,v,pos,2
1011,62,豆瓣,n,pos,3
1012,62,微博小,j,pos,4
1013,62,红书,n,pos,5
1014,62,百万,m,pos,6
1015,62,大军,n,pos,7
1016,62,冲垮,v,pos,8
1020,63,招女,n,pos,1
1022,63,性,n,pos,2
1023,64,鉿,g,pos,1
1026,64,壹,m,pos,2
1027,64,钱庄,nr,pos,3
1028,64,夸夫雷,nrt,pos,4
1029,64,入网,v,pos,5
1030,64,许可证,nr,pos,6
1031,65,渗透,v,pos,1
1035,66,水军,n,pos,1
1037,66,热度,n,pos,2
1038,66,罢,v,pos,3
1041,67,当元,t,pos,1
1045,67,计较,v,pos,2
1053,67,层,q,pos,3
1054,67,身份,n,pos,4
1058,67,敌人,n,pos,5
1063,68,反噬,v,pos,1
1065,68,炒作,v,pos,2
1066,69,学历,n,pos,1
1067,69,越,d,pos,2
1068,69,高,a,pos,3
1070,69,败类,n,pos,4
1071,69,越多,d,pos,5
1076,70,蹭,v,pos,1
1077,70,热度,n,pos,2
1079,70,公司,n,pos,3
1082,71,记住,v,pos,1
1084,71,垃圾,n,pos,2
1085,71,学校,n,pos,3
1087,71,四学,n,pos,4
1089,72,我家,r,pos,1
1090,72,对面,n,pos,2
1091,72,龙凤呈祥,nr,pos,3
1092,72,包子,n,pos,4
1093,72,集团,n,pos,5
1094,72,有限公司,n,pos,6
1095,72,董事长,n,pos,7
1096,72,昨晚,t,pos,8
1098,72,吃,v,pos,9
1099,72,包子,n,pos,10
1100,72,时,n,pos,11
1101,72,悄悄,z,pos,12
1105,72,前天,t,pos,13
1106,72,有个,r,pos,14
1107,72,简历,v,pos,15
1111,72,扔,v,pos,16
1112,72,垃圾桶,n,pos,17
1115,73,好多年,m,pos,1
1118,73,贴上标签,n,pos,2
1123,73,聚集地,n,pos,3
1126,74,中央,n,pos,1
1127,74,点名,v,pos,2
1128,74,批评,v,pos,3
1132,75,缺,v,pos,1
1135,75,缺,v,pos,2
1139,75,少,a,pos,3
1140,75,招,v,pos,4
1142,75,大学,n,pos,5
1143,75,学生,n,pos,6
1145,75,影响,vn,pos,7
1146,75,不到,v,pos,8
1147,75,公司,n,pos,9
1148,76,哈麻,nr,pos,1
1149,76,皮带,n,pos,2
1150,76,学,n,pos,3
1151,77,估计,v,pos,1
1154,77,张薇,nr,pos,2
1159,77,后台,n,pos,3
1163,77,保研,v,pos,4
1166,77,学校,n,pos,5
1169,77,包庇,v,pos,6
1172,77,查出,v,pos,7
1175,78,没用,v,pos,1
1179,78,省,n,pos,2
1180,78,省级,b,pos,3
1181,78,单位,n,pos,4
1183,78,点名,v,pos,5
1186,79,猜,v,pos,1
1189,79,企业,n,pos,2
1192,79,想,v,pos,3
1195,80,我家,r,pos,1
1196,80,招,v,pos,2
1197,80,保姆,nrt,pos,3
1199,80,拒绝,v,pos,4
1200,80,毕业生,n,pos,5
1202,81,华西,ns,pos,1
1206,81,影响,vn,pos,2
1209,81,不在乎,i,pos,3
1211,81,企业,n,pos,4
1219,81,弄低,v,pos,5
1220,81,声誉,n,pos,6
1231,82,学生,n,pos,1
1232,82,开黑,v,pos,2
1233,83,开,v,pos,1
1234,83,香槟,n,pos,2
1235,83,开,v,pos,3
1236,83,香槟,n,pos,4
1237,84,政府部门,n,pos,1
1239,84,约,d,pos,2
1240,84,谈,v,pos,3
1242,84,先,d,pos,4
1243,84,撤掉,v,pos,5
1244,84,公告,n,pos,6
1253,84,社会,n,pos,7
1254,84,带来,v,pos,8
1257,84,影响,vn,pos,9
1262,84,招不招,i,pos,10
1266,84,私下,n,pos,11
1267,84,事,n,pos,12
1269,84,低调,v,pos,13
1270,84,点,m,pos,14
1272,85,党员,n,pos,1
1273,85,欺压,v,pos,2
1274,85,网,n,pos,3
1275,85,爆,v,pos,4
1276,85,农民工,n,pos,5
1281,85,判,v,pos,6
1283,85,几年,m,pos,7
1286,85,分,v,pos,8
1287,86,发,v,pos,1
1291,86,小企业,n,pos,2
1294,86,企业,n,pos,3
1297,86,整,v,pos,4
1300,86,违法,vn,pos,5
1305,86,明面,ad,pos,6
1310,86,招,v,pos,7
1312,86,反正,d,pos,8
1313,86,报,n,pos,9
1314,86,大厂,n,pos,10
1316,86,企业,n,pos,11
1318,86,名校,n,pos,12
1319,86,学生,n,pos,13
1320,86,挺多不差,i,pos,14
1323,86,两个,m,pos,15
1326,87,大学,n,pos,1
1328,87,一点,m,pos,2
1329,87,担当,v,pos,3
1331,87,真让人,n,pos,4
1332,87,看不起,v,pos,5
